Date,IRCON,upper,lower
2018-09-28,415.3,,
2018-10-01,427.0,,
2018-10-03,421.4,,
2018-10-04,407.1,,
2018-10-05,399.8,,
2018-10-08,382.05,,
2018-10-09,363.65,,
2018-10-10,365.05,,
2018-10-11,360.95,,
2018-10-12,368.0,,
2018-10-15,375.4,,
2018-10-16,379.4,,
2018-10-17,367.6,,
2018-10-19,361.75,433.06674528364334,337.5689690020709
2018-10-22,355.8,427.90425993356706,334.2314543521472
2018-10-23,347.85,417.2032873695138,333.6252840590576
2018-10-24,345.5,405.26862474924354,334.71708953647084
2018-10-25,342.7,396.3566289550115,334.42908533070283
2018-10-26,346.55,386.9155620834102,336.26300934516127
2018-10-29,348.55,382.43987146104007,335.95298568181704
2018-10-30,348.35,381.87768353803625,334.32945931910666
2018-10-31,347.4,380.9004117581111,332.7853025276032
2018-11-01,356.4,380.45905456625115,332.5766597194632
2018-11-02,360.9,379.19294151565595,332.82848705577254
2018-11-05,365.65,376.48598048208004,334.14259094649134
2018-11-06,364.0,371.17725119211974,337.2513202364517
2018-11-07,371.35,372.4446083013728,336.51967741291287
2018-11-09,385.3,380.38072731820506,331.94784411036636
2018-11-12,407.6,396.4902838066754,323.2382876218961
2018-11-13,415.6,411.09329947403285,318.3138433831101
2018-11-14,421.15,423.89494326325234,316.3193424510333
2018-11-15,422.35,433.7823083418284,317.81054880102886
2018-11-16,414.95,439.5722439861868,321.792041728099
2018-11-19,410.1,442.8139853612526,327.34315749589035
2018-11-20,401.85,443.1397101194887,334.66028988051136
2018-11-21,398.25,441.3388354490227,343.7254502652631
2018-11-22,388.8,439.1364424534579,350.5564146893994
2018-11-26,389.25,436.8589980685328,356.88385907432456
2018-11-27,408.45,435.9849741307852,363.8721687263579
2018-11-28,423.6,435.7644663575999,372.606962213829
2018-11-29,427.75,435.8984224819631,380.53014894660856
2018-11-30,429.75,437.9247823634465,384.85378906512517
2018-12-03,432.7,441.915495419115,384.44879029517085
2018-12-04,425.95,443.4445020586505,384.39835508420674
2018-12-05,434.45,446.1973754055625,383.5454817372947
2018-12-06,431.2,447.8210938080375,383.18604904910535
2018-12-07,429.95,449.79544666953046,383.3545533304695
2018-12-10,416.3,450.03113202859606,384.0045822571183
2018-12-11,415.9,449.88258684593967,386.1602702969174
2018-12-12,424.85,449.81541341236897,390.0274437304881
2018-12-13,424.1,446.3932821316315,398.49243215408273
2018-12-14,425.25,439.45586183599676,410.5727095925746
2018-12-17,458.8,449.09587509023027,408.1255534811984
2018-12-18,463.45,458.85211311820467,404.06217259608104
2018-12-19,459.7,464.87213204865077,402.60643937992063
2018-12-20,454.25,468.3618877870307,402.6166836415407
2018-12-21,447.55,469.98837040563865,403.1116295943614
2018-12-24,437.15,470.22713725138226,404.4728627486177
2018-12-26,443.65,471.0021508045676,405.01213490971804
2018-12-27,452.55,473.1397337383001,405.9245519759856
2018-12-28,453.55,475.121240390027,407.3144738956873
2018-12-31,445.55,474.0539214787234,412.56036423556236
2019-01-01,447.15,471.9461373476574,419.13243408091404
2019-01-02,437.45,470.56935564218617,422.3092157863852
2019-01-03,428.05,469.79558041968886,423.6472767231682
2019-01-04,421.65,470.6238969112173,422.30467451735404
2019-01-07,416.65,471.2262880981533,415.6808547589893
2019-01-08,412.65,469.5492390081808,410.10076099181896
2019-01-09,412.55,467.1496089119833,405.7646768023022
2019-01-10,414.0,464.63350495145596,402.5307807628295
2019-01-11,416.5,462.55324896367057,400.1753224649006
2019-01-14,413.25,462.07411033128875,397.2401753829968
2019-01-15,410.85,460.1137094562091,394.51486197236227
2019-01-16,416.85,454.5221916727535,395.0063797558179
2019-01-17,421.2,447.181738622023,397.72540423511975
2019-01-18,410.6,441.4915824345297,398.42270327975604
2019-01-21,407.75,432.8890096469246,401.39670463878974
2019-01-22,396.8,428.80194494795825,399.67662648061327
2019-01-23,389.9,428.9405006513563,394.0880707772151
2019-01-24,384.65,430.41286321709265,387.3299939257645
2019-01-25,388.05,430.5104929425325,383.14664991461046
2019-01-28,375.65,432.8113463868018,375.5600821846268
2019-01-29,379.7,432.80152521218486,370.8770462163866
2019-01-30,386.3,431.01504917538205,368.7063793960466
2019-01-31,389.75,427.9688402379364,367.9311597620636
2019-02-01,384.5,425.33448516190595,366.45837198095126
2019-02-04,380.0,422.9269483363944,364.45876594931985
2019-02-05,386.8,417.70754076507865,365.3853163777784
2019-02-06,385.4,408.92156253708265,369.05700889148875
2019-02-07,389.65,403.11605769857994,371.8696565871342
2019-02-08,386.85,396.40909365743096,375.5909063425689
2019-02-11,388.15,393.8814285414103,376.8828571728752
2019-02-12,390.5,394.02783942392176,376.82216057607803
2019-02-13,386.55,394.17083164142196,376.95059693000655
2019-02-14,385.25,393.85099638407985,376.87043218734857
2019-02-15,380.15,392.8221285437065,378.5421571705791
2019-02-18,367.45,396.594871622706,373.0194140915796
2019-02-19,368.9,398.03730722495453,369.09126420361673
2019-02-20,370.5,397.74776984903855,366.6308015795327
2019-02-21,376.5,397.3968405917757,365.83887369393847
2019-02-22,382.1,397.52049341271606,366.01522087299804
2019-02-25,384.4,397.1643178254059,366.0285393174511
2019-02-26,378.2,396.5843316426912,365.5799540715943
2019-02-27,381.15,395.17684446826837,365.77315553173145
2019-02-28,400.45,399.4003638283218,363.49249331453507
2019-03-01,406.95,405.1696747454607,360.40889668311047
2019-03-05,419.65,414.56954335971017,355.17331378314674
2019-03-06,427.3,425.1789055130572,350.38538020122826
2019-03-07,426.25,433.31254123410463,348.1088873373236
2019-03-08,429.9,441.1551808215023,347.3733906070688
2019-03-11,429.25,446.325182645315,351.03196021182754
2019-03-12,428.8,449.83636339973816,356.0779223145473
2019-03-13,421.25,450.39851856554395,362.76576714874153
2019-03-14,418.45,450.15064811430926,369.00649474283335
2019-03-15,412.4,449.10641110705,374.3793031786639
2019-03-18,410.15,447.5262509250752,379.63803478921017
2019-03-19,407.9,443.22722459301326,388.17991826412924
2019-03-20,407.6,437.4677681593146,397.7179461263995
2019-03-22,401.35,437.2976370207077,398.01664869357785
2019-03-25,392.7,439.8267882690087,393.4517831595625
2019-03-26,400.4,439.9193032585889,390.60926816998233
2019-03-27,398.9,438.2950109966827,388.1764175747456
2019-03-28,397.15,436.3931932961128,385.92109241817263
2019-03-29,402.25,432.34194248238384,386.0223432319017
2019-04-01,403.5,427.5375196952343,387.14819459047976
2019-04-02,403.15,421.54534884639236,389.4760797250359
2019-04-03,406.1,417.69314044564754,391.164002411495
2019-04-04,405.45,414.08598492928553,392.91401507071424
2019-04-05,407.75,412.799743861368,393.5359704243461
2019-04-08,405.65,411.74720332471685,393.9456538181401
2019-04-09,398.45,410.85188533765415,393.4909718052028
2019-04-10,398.95,409.7895585288809,393.31758432826166
2019-04-11,399.9,409.73334752101016,393.1666524789895
2019-04-12,397.35,408.83574064537993,394.72854506890553
2019-04-15,418.65,414.4607496074797,391.7106789639485
2019-04-16,414.8,416.8968872513833,391.54596989147365
2019-04-18,404.1,416.7271873069004,392.7085269788138
2019-04-22,404.15,416.7854591691988,392.92168368794387
2019-04-23,402.3,416.7587259214704,392.7769883642437
2019-04-24,402.55,416.74503135795175,392.7049686420482
2019-04-25,404.1,416.57929682367563,392.5849888906101
2019-04-26,404.95,416.5354276497957,392.55742949306136
2019-04-30,398.75,416.1157006000586,391.69144225708425
2019-05-02,400.35,415.83214301658825,391.2178569834118
2019-05-03,410.1,416.7611656005827,391.9531201137032
2019-05-06,403.75,416.71959937896276,392.68040062103745
2019-05-07,398.2,416.8389964610903,392.3181463960528
2019-05-08,394.3,417.2658819191991,391.45554665222966
2019-05-09,399.95,413.12539983976205,392.9246001602381
2019-05-10,395.45,409.9364002423317,393.3493140433828
2019-05-13,385.75,412.04719610189824,388.6170896123876
